カテゴリ,画面名,機能ID,機能名,説明,表示条件,色・デザイン,設計書の該当箇所,実装状況,今後の課題
サイト共通,全画面,C-01,ヘッダー,ロゴ＋ナビゲーション4項目＋ログインボタンを画面上部に固定表示,常時表示,白背景（半透明95%）＋ぼかし効果＋下線ボーダー,—,完了,—
サイト共通,全画面,C-02,ロゴ,UMAYOSEロゴ（SVG画像＋テキスト）。クリックでトップに戻る,常時表示,金色テキスト（#b8960f）,—,完了,—
サイト共通,全画面,C-03,ナビゲーション,「レース一覧」「速報」「的中速報」「予想家」の4リンク,常時表示,アクティブ時は金色。通常はグレー,—,完了,—
サイト共通,全画面,C-04,ログインボタン,未ログイン時に金色グラデーションボタンを表示,未ログイン時,金色グラデーション背景（#e6b422→#f0cc5a）,—,完了,—
サイト共通,全画面,C-05,ユーザー表示,ログイン中はメール名の頭文字アイコン＋ユーザー名を表示,ログイン時,金色系アイコン背景,—,完了,—
サイト共通,全画面,C-06,ログアウトリンク,クリックでログアウトしてページ再読み込み,ログイン時,グレーテキスト。ホバー時に赤色,—,完了,—
サイト共通,全画面,C-07,フッター,ロゴ＋「© 2026 UMAYOSE. All rights reserved.」を表示,常時表示,グレー背景（#eeeef2）,—,完了,—
サイト共通,全画面,C-08,スマホ対応（ハンバーガーメニュー）,768px以下でハンバーガーボタンを表示。タップで右からスライドメニュー,画面幅768px以下,白背景のスライドパネル＋影付き,「netkeibaに寄せる」,完了,—
サイト共通,全画面,C-09,スマホ対応（テーブル列の自動省略）,厩舎・馬体重・近走・予測勝率・逃げ馬指数をスマホで非表示,画面幅768px以下,—,「netkeibaに寄せる」,完了,—
サイト共通,全画面,C-10,レスポンシブレイアウト,PCは3列グリッド。タブレットは2列。スマホは1列,画面幅による自動切替,—,「netkeibaに寄せる」,完了,—
トップ画面,index.html,T-01,ページタイトル,「レース一覧」と本日の日付バッジを表示,常時表示,日付バッジは金色系の丸形,—,完了,—
トップ画面,index.html,T-02,重賞バナー,G1/G2/G3レースを大きなカード形式で上部に表示。クリックで出馬表へ,重賞レースがある場合,黄色系グラデーション背景＋金ボーダー。G1=金/G2=赤/G3=青の円形バッジ,「重賞はトップバナーもあった方が良い」,完了,—
