種別,No.,カテゴリ,項目名,概要・目的,テストサイト実装状況,テストサイトでの仕様詳細,要件・仕様（クライアント記入）,優先度,対応時期,参考URL・イメージ,備考
機能要件,F-001,ページ構成,サイト全体構成,サイトのページ構成と遷移,実装済,6ページ構成: トップ(index.html) / 出馬表(race.html) / 速報(results.html) / 予想家一覧(predictors.html) / ログイン(login.html) / 新規登録(register.html),,,,,
機能要件,F-002,レース一覧,レース一覧表示,当日のレースを会場別に一覧表示,実装済,"data/races/{日付}.jsonから取得。PC: 3カラムグリッド（会場別）/ モバイル: タブ切替。各行にレース番号・レース名・グレードバッジ(G1/G2/G3)・距離・発走時刻を表示。行クリックで出馬表へ遷移",,,,,
機能要件,F-003,レース一覧,会場タブ切替（モバイル）,モバイル表示時に会場をタブで切り替え,実装済,768px以下でタブUI表示。各タブにレース数バッジ。初期表示は1つ目の会場がアクティブ,,,,,
機能要件,F-004,レース一覧,日付表示,表示中の開催日を表示,一部実装,ページヘッダーに日付バッジ表示。本日のJSONがない場合は2026-02-16にフォールバック。日付選択UIは未実装,,,,,
機能要件,F-005,出馬表,出馬表テーブル表示,レースごとの出走馬情報をテーブル表示,実装済,"9カラム構成: 枠番(JRA標準色バッジ) / 馬番(枠色ボーダー付き) / 馬名 / 騎手 / 斤量 / オッズ(小数1桁) / 人気(1〜3位は色付き丸) / テン指数 / MY印。race.html?id={raceId}&date={日付}でアクセス",,,,,
機能要件,F-006,出馬表,枠番計算・表示,JRA標準の枠番を自動計算し枠色で表示,実装済,"8頭以下: 馬番=枠番。9頭以上: 後ろの枠から2頭ずつ割当。枠色8色: 1白/#fff 2黒/#333 3赤/#e4002b 4青/#0068b7 5黄/#f4d500 6緑/#00a73c 7橙/#f39800 8桃/#e85298",,,,,
機能要件,F-007,出馬表,テン指数表示,各馬のテン（前半3Fの速さ指標）を表示,一部実装,"30.0〜70.0の範囲で表示。現在はraceId+馬番からの疑似ハッシュ値（ダミー）。40未満=前傾(緑) / 40-60=中間 / 60以上=後傾(赤)で色分け。※実データ連携は未実装",,,,,
機能要件,F-008,出馬表,MY印機能,ユーザーが各馬に印を付けて保存,実装済,"セルクリックで◎→○→▲→△→空を循環。localStorageに保存。印別の色: ◎赤(honmei) / ○青(taikou) / ▲緑(tanana) / △橙(renka)。ログイン不要で利用可",,,,,
機能要件,F-009,出馬表,予想家購入リンク,出馬表下部に予想家の購入リンクを表示,実装済,"data/predictors.jsonから全予想家を取得。アバター+名前+プラットフォーム名表示。外部リンク(note.com/netkeiba.com)へ遷移。comingSoon予想家は「3月デビュー予定」バッジで無効化表示",,,,,
機能要件,F-010,出馬表,結果ページへのリンク,出馬表から該当レースの結果ページへ遷移,実装済,ヘッダー部に「📡 レース結果・速報を見る」ボタン。results.html?id={raceId}&date={日付}に遷移,,,,,
