画面名,主な機能,設計書の指定,実装状況,備考
サイト共通,ヘッダー（ロゴ＋ナビ＋ログインボタン）,—,完了,画面上部に固定表示。半透明ぼかし背景
サイト共通,フッター（ロゴ＋コピーライト）,—,完了,グレー背景
サイト共通,ナビゲーション（4項目：レース一覧/速報/的中速報/予想家）,—,完了,アクティブ時に金色で強調
サイト共通,ハンバーガーメニュー（スマホ対応）,netkeibaに寄せる,完了,768px以下でスライドメニュー表示
サイト共通,ユーザー認証（ログイン/新規登録/ログアウト）,—,完了,ブラウザ内保存（localStorage）のみ
トップ画面,重賞バナー表示,「重賞はトップバナー」,完了,G1/G2/G3を黄色系カードで上部に大きく表示
トップ画面,レース一覧（競馬場ごと）,「各レースのタブ」,完了,PCは3列グリッド。スマホはタブ切り替え
トップ画面,重賞レースの色付け,「薄い黄色」,完了,黄色背景＋金ボーダーで重賞行を強調
トップ画面,予想家アイコン＆リンク,「所属予想家のアイコン＆販売リンク」,完了,全予想家のアイコン＋名前＋外部リンク
トップ画面,FRONT RUNNERコラム,「更に下部にFRONT RUNNERコラムとか？」,完了（ダミー）,現在はダミー記事3件。CMS連携が今後必要
出馬表,テーブル（13列）,「枠番〜逃げ馬指数」,完了,枠番/馬番/MY印/馬名/性齢/斤量/騎手/厩舎/馬体重/オッズ/近走/予測勝率/逃げ馬指数
出馬表,MY印機能,「印機能」,完了,タップで◎→○→▲→△→消去の順に切り替え
出馬表,近走成績ポップアップ,「近走成績(過去5走)」,完了,過去5走をバッジ表示。クリックで22項目の詳細ポップアップ
出馬表,予測勝率,「予測勝率」,完了,5.0〜35.0%を色分け表示。午前無料/午後有料
出馬表,逃げ馬指数,「逃げ馬指数」,完了,30.0〜70.0を3段階色分け。午前無料/午後有料
出馬表,午前無料/午後有料の切り替え,「午前→無料、午後→有料」,完了,13時以降は未ログインユーザーにロック表示
出馬表,予想家購入リンク,「予想家アイコン＆販売リンク」,完了,レース別リンクとアカウントリンクの使い分けあり
出馬表,的中速報バナー,「予想家アイコン付近に的中速報」,完了,赤いバナーで的中速報ページへ誘導
レース結果,速報/確定モード切替,「速報の際は項目絞って良い」,完了,ボタンで切り替え。速報モードは列を省略表示
レース結果,着順テーブル（16列）,「着順〜通過順位」,完了,着順/枠/馬番/印/馬名/性齢/騎手/厩舎/斤量/馬体重/タイム/上り/着差/オッズ/人気/通過
レース結果,レースラップ,「レースラップ」,完了,ラップタイムをバッジ表示。平均より速い/遅いで色分け
レース結果,払戻金テーブル,「各払戻金」,完了,券種/組番/払戻金/人気の4列。1万円以上は赤字強調
レース結果,予想家的中の自動判定,—,完了,7種の買い目（単勝/複勝/馬連/馬単/ワイド/3連複/3連単）を自動判定
レース結果,SNSシェアボタン,「SNSでの的中報告」,完了,X（旧Twitter）へ結果をシェア。MY印との照合テキスト付き
的中速報,タイムライン表示,—,完了,SNS風のカード型タイムライン
的中速報,券種フィルター,—,完了,単勝/複勝/馬連など券種別に絞り込み
的中速報,予想家フィルター,—,完了,特定の予想家の的中だけを表示
的中速報,高額配当の特別デザイン,—,完了,1万円以上は金色のグラデーション枠で強調
予想家一覧,予想家カード表示,—,完了,アイコン＋名前＋プラットフォーム＋リンク
予想家一覧,Coming Soon対応,—,完了,デビュー前の予想家は半透明＋「3月デビュー予定」バッジ
認証,ログインページ,—,完了,メール＋パスワード入力フォーム
認証,新規登録ページ,—,完了,メール＋パスワード＋確認入力フォーム
